name,type_code,type,place,district,state,latitude,longitude,source_id,village_id
Dalwat,PHC,Primary Health Centre,"Dhekale, KALWAN",Nashik,MAHARASHTRA,20.521290000326232,73.93113999940515,1655,183091
Jaidar,PHC,Primary Health Centre,"Dhekale, KALWAN",Nashik,MAHARASHTRA,20.521300000136417,73.93115000034919,1656,183091
Kanashi,PHC,Primary Health Centre,"Dhekale, KALWAN",Nashik,MAHARASHTRA,20.521300000136417,73.93115000034919,1657,183091
Vadner Khakurdi,PHC,Primary Health Centre,"Sitane, MALEGAON",Nashik,MAHARASHTRA,20.52441000026913,74.66225000017887,1658,183255
Bramhangaon,PHC,Primary Health Centre,"Dhandri, BAGLAN",Nashik,MAHARASHTRA,20.549620000373338,74.32527000024638,1663,182635
Aliyabad,PHC,Primary Health Centre,"Dabhadi, MALEGAON",Nashik,MAHARASHTRA,20.54988999969079,74.45882000028732,1664,183164
Mulher,PHC,Primary Health Centre,"Dabhadi, MALEGAON",Nashik,MAHARASHTRA,20.54988999969079,74.45882000028732,1665,183164
sukapur,PHC,Primary Health Centre,"More Nagar, BAGLAN",Nashik,MAHARASHTRA,20.56000000011701,74.20000000035124,1667,182673
Bubli,PHC,Primary Health Centre,"Walutzira, SURGANA",Nashik,MAHARASHTRA,20.57318999957055,73.58849000048596,1669,183737
Mani,PHC,Primary Health Centre,"Walutzira, SURGANA",Nashik,MAHARASHTRA,20.57318999957055,73.58849000048596,1670,183737
Borgaon,PHC,Primary Health Centre,"Walutzira, SURGANA",Nashik,MAHARASHTRA,20.573209999970217,73.58851000057744,1671,183737
Palsan,PHC,Primary Health Centre,"Walutzira, SURGANA",Nashik,MAHARASHTRA,20.573209999970217,73.58851000057744,1672,183737
Pangarne,PHC,Primary Health Centre,"Walutzira, SURGANA",Nashik,MAHARASHTRA,20.5732199997486,73.58851999972485,1673,183737
Umbarthan,PHC,Primary Health Centre,"Kothule, SURGANA",Nashik,MAHARASHTRA,20.573240000144377,73.55854000003013,1674,183761
Kalwadi,PHC,Primary Health Centre,"Sajvahal, MALEGAON",Nashik,MAHARASHTRA,20.59055000019852,74.6740100000735,1677,183243
Karanjgavhan,PHC,Primary Health Centre,"Sajvahal, MALEGAON",Nashik,MAHARASHTRA,20.590580000327133,74.67404000021072,1678,183243
Nirpur,PHC,Primary Health Centre,"Nave Nirpur, BAGLAN",Nashik,MAHARASHTRA,20.606336000618853,74.11959200049235,1680,182682
Londhe,PHC,Primary Health Centre,"Hiswal Bk, MALEGAON",Nashik,MAHARASHTRA,20.623145000008456,74.7808459999083,1685,183187
Kelzar,PHC,Primary Health Centre,"Kautikpada, BAGLAN",Nashik,MAHARASHTRA,20.637799999612906,74.17705000047437,1690,237156
Lohoner,PHC,Primary Health Centre,"Kautikpada, BAGLAN",Nashik,MAHARASHTRA,20.637799999612906,74.17705000047437,1691,237156
Khamkheda,PHC,Primary Health Centre,"Kautikpada, BAGLAN",Nashik,MAHARASHTRA,20.637819999941282,74.17707000056583,1692,237156
Ravalgaon,PHC,Primary Health Centre,"Vaygaon, BAGLAN",Nashik,MAHARASHTRA,20.64721999937409,74.36572000022312,1696,182717
Kapaleshwar,PHC,Primary Health Centre,"Kikwari Kh., BAGLAN",Nashik,MAHARASHTRA,20.65611099931429,74.06379300019387,1698,182659
Virgaon,PHC,Primary Health Centre,"Virgaon, BAGLAN",Nashik,MAHARASHTRA,20.66803700037725,74.14202199978723,1700,182719
Salher,PHC,Primary Health Centre,"Salher, BAGLAN",Nashik,MAHARASHTRA,20.702788000029035,73.93010399933742,1709,182696
Ambasan,PHC,Primary Health Centre,"Nampur, BAGLAN",Nashik,MAHARASHTRA,20.74583000014663,74.32859999930906,1719,182680
Taharabad,PHC,Primary Health Centre,"Taharabad, BAGLAN",Nashik,MAHARASHTRA,20.763680000713222,74.14678000035143,1723,182703
Jaikheda,PHC,Primary Health Centre,"Bramhanpade, BAGLAN",Nashik,MAHARASHTRA,20.774699999953707,74.23090999980847,1727,182622
Tudiye,PHC,Primary Health Centre,"Tudiye, CHANDGAD",Kolhapur,MAHARASHTRA,15.801644000334209,74.35572269973181,17677,178503
Here,PHC,Primary Health Centre,"Gudawale Khalsa, CHANDGAD",Kolhapur,MAHARASHTRA,15.886755100554797,74.17977600018779,17718,178426
Mangaon,PHC,Primary Health Centre,"Malgad, CHANDGAD",Kolhapur,MAHARASHTRA,15.943294900232923,74.32640000002544,17751,178473
Kanur Khurd,PHC,Primary Health Centre,"Pilani, CHANDGAD",Kolhapur,MAHARASHTRA,15.96480949974657,74.10858000078534,17763,178448
Kowad,PHC,Primary Health Centre,"Kowad, CHANDGAD",Kolhapur,MAHARASHTRA,15.98869390037677,74.38070000047391,17783,178462
Adkur,PHC,Primary Health Centre,"Latagaon, AJRA",Kolhapur,MAHARASHTRA,16.05032999994929,74.15557400033312,17803,178244
Nool,PHC,Primary Health Centre,"Honewadi, AJRA",Kolhapur,MAHARASHTRA,16.124698000034787,74.25500399970811,17853,178228
Kadgaon,PHC,Primary Health Centre,"Hidadugi, GADHINGLAJ",Kolhapur,MAHARASHTRA,16.138260000426975,74.41582000032425,17858,178540
Uttur,PHC,Primary Health Centre,"Dewarde, AJRA",Kolhapur,MAHARASHTRA,16.141149999974765,74.15442699993731,17862,178216
Kadgaon,PHC,Primary Health Centre,"Salgaon, AJRA",Kolhapur,MAHARASHTRA,16.145699999661776,74.18303099980572,17867,178259
Pimpalgaon,PHC,Primary Health Centre,"Deokandgaon, AJRA",Kolhapur,MAHARASHTRA,16.15582399997159,74.12522200019438,17870,178217
Madilage,PHC,Primary Health Centre,"Madilage, AJRA",Kolhapur,MAHARASHTRA,16.167918000081496,74.22893800013048,17873,178245
Kapashi,PHC,Primary Health Centre,"Aralgundi, BHUDARGAD",Kolhapur,MAHARASHTRA,16.202058999458004,74.17213200007663,17906,178304
Kandadewadi,PHC,Primary Health Centre,"Aralgundi, BHUDARGAD",Kolhapur,MAHARASHTRA,16.203000000140722,74.18369500032777,17907,178304
Chikhali,PHC,Primary Health Centre,"Dindewadi, BHUDARGAD",Kolhapur,MAHARASHTRA,16.261308000165798,74.18528000039147,17942,178326
Pimpalgaon,PHC,Primary Health Centre,"Pushpanagar, BHUDARGAD",Kolhapur,MAHARASHTRA,16.278349999857507,74.1355660000797,17947,178382
Dhamod,PHC,Primary Health Centre,"Gargoti, BHUDARGAD",Kolhapur,MAHARASHTRA,16.313935000441653,74.15838000041248,17970,178330
Siddhanerli,PHC,Primary Health Centre,"Khanapur, BHUDARGAD",Kolhapur,MAHARASHTRA,16.325470000247883,74.15186500025544,17979,178338
Ispurli,PHC,Primary Health Centre,"Minache Kh., BHUDARGAD",Kolhapur,MAHARASHTRA,16.335107000194668,74.10495899967289,17995,178355
Kasaba Sangaon,PHC,Primary Health Centre,"Gangapur, BHUDARGAD",Kolhapur,MAHARASHTRA,16.339999999848136,74.17999999959545,17997,178329
Hupari,PHC,Primary Health Centre,"Haladi, KAGAL",Kolhapur,MAHARASHTRA,16.378979999800386,74.2410689997459,18032,178686
Pattan Kodoli,PHC,Primary Health Centre,"Yamage, KAGAL",Kolhapur,MAHARASHTRA,16.391966999577445,74.21588100005222,18044,178741
Abdullat,PHC,Primary Health Centre,"Galgale, KAGAL",Kolhapur,MAHARASHTRA,16.393008999812615,74.30372600033309,18045,178684
Mudshingi,PHC,Primary Health Centre,"Kurni, KAGAL",Kolhapur,MAHARASHTRA,16.412945999198936,74.18660000014133,18062,178703
Unchgaon,PHC,Primary Health Centre,"Admapur, BHUDARGAD",Kolhapur,MAHARASHTRA,16.414459999779623,74.16230000037737,18063,178305
