name,type_code,type,place,district,state,latitude,longitude,source_id,village_id
Navargaon,PHC,Primary Health Centre,"Navargaon, SINDEWAHI",Chandrapur,MAHARASHTRA,20.370093699625013,79.58843690053375,3917,174067
Harisal,PHC,Primary Health Centre,"Ladkhed, DARWHA",Yavatmal,MAHARASHTRA,20.373592330123063,77.9103247193802,3918,193891
Asegaon,PHC,Primary Health Centre,"Poti, MANGRULPIR",Washim,MAHARASHTRA,20.375526999583084,77.40005500025721,3919,193446
Hasegaon,PHC,Primary Health Centre,"Hasegaon, AUSA",Latur,MAHARASHTRA,18.31218789973976,76.62177599913521,40,179356
Andhori,PHC,Primary Health Centre,"Andhori., AHMADPUR",Latur,MAHARASHTRA,18.771431800043914,76.831732499416,393,179227
Moha,PHC,Primary Health Centre,"Moha, JAMKHED",Ahmadnagar,MAHARASHTRA,18.775569299919436,75.34704800057183,394,167735
Adas,PHC,Primary Health Centre,"Adas, KAIJ",Bid,MAHARASHTRA,18.778892600232446,76.23061980007512,396,171522
Karanjkheda,PHC,Primary Health Centre,"Karanjkheda Khalsa, KANNAD",Aurangabad,MAHARASHTRA,20.375949000581574,75.286576000098,3920,170512
Borgaon,PHC,Primary Health Centre,"Linga, NER",Yavatmal,MAHARASHTRA,20.37841540016797,77.959551300107,3921,194326
Palod,PHC,Primary Health Centre,"Khedi, SILLOD",Aurangabad,MAHARASHTRA,20.380294000564405,75.67198300020434,3923,170846
Kanheri Sarap,PHC,Primary Health Centre,"Shelu Kh., MANGRULPIR",Washim,MAHARASHTRA,20.382006000122626,77.24549999935489,3924,193454
Chincholi Limbaji,PHC,Primary Health Centre,"Chincholi (L), KANNAD",Aurangabad,MAHARASHTRA,20.38327099999197,75.36865199986131,3925,170477
Dhotra Sinde,PHC,Primary Health Centre,"Bhur, MANGRULPIR",Washim,MAHARASHTRA,20.383749999301394,77.21684000030832,3926,193393
Raipur,PHC,Primary Health Centre,"Raipur, BULDANA",Buldhana,MAHARASHTRA,20.385271999691916,76.14447000068546,3929,172542
